question,sql_query,
Describe the purpose of from_date.,SELECT from_date FROM title;,
Which table contains dept_no?,SELECT dept_no FROM dept_emp;,
Where can I see the first_name?,SELECT first_name FROM employee;,
Describe the purpose of from_date.,SELECT from_date FROM dept_emp;,
Where is amount mostly used?,SELECT amount FROM salary;,
How is last_login used in the employee_login table?,SELECT last_login FROM employee_login;,
Explain the from_date column in dept_emp.,SELECT from_date FROM dept_emp;,
List all created_at values.,SELECT created_at FROM employee_login;,
Show me the from_date.,SELECT from_date FROM salary;,
What is the data type of dept_no in manager_department_access?,SELECT dept_no FROM manager_department_access;,
What happens if to_date is missing?,SELECT to_date FROM title;,
Can I filter records by dept_no?,SELECT dept_no FROM manager_department_access;,
Why do we need username?,SELECT username FROM employee_login;,
What happens if dept_no is missing?,SELECT dept_no FROM department;,
Can I filter records by amount?,SELECT amount FROM salary;,
What happens if birth_date is missing?,SELECT birth_date FROM employee;,
How is title used in the title table?,SELECT title FROM title;,
Define the created_at field.,SELECT created_at FROM employee_login;,
Which table contains from_date?,SELECT from_date FROM dept_manager;,
Show me the gender.,SELECT gender FROM employee;,
How is emp_no used in the salary table?,SELECT emp_no FROM salary;,
List all emp_no values.,SELECT emp_no FROM title;,
Describe the purpose of dept_no.,SELECT dept_no FROM department;,
Give an example of gender.,SELECT gender FROM employee;,
List all access_granted_date values.,SELECT access_granted_date FROM manager_department_access;,
Which employee has the emp_no?,SELECT emp_no FROM manager_department_access;,
Which table contains dept_no?,SELECT dept_no FROM dept_manager;,
When is the to_date?,SELECT to_date FROM salary;,
Define the to_date field.,SELECT to_date FROM dept_manager;,
Give an example of created_at.,SELECT created_at FROM employee_login;,
Describe the purpose of from_date.,SELECT from_date FROM title;,
Explain the emp_no column in dept_emp.,SELECT emp_no FROM dept_emp;,
Can I filter records by password?,SELECT password FROM employee_login;,
What is the data type of dept_no in manager_department_access?,SELECT dept_no FROM manager_department_access;,
What happens if dept_no is missing?,SELECT dept_no FROM department;,
Which table contains login_id?,SELECT login_id FROM employee_login;,
Can you tell me the dept_name?,SELECT dept_name FROM department;,
Explain the username column in employee_login.,SELECT username FROM employee_login;,
Describe the purpose of access_granted_date.,SELECT access_granted_date FROM manager_department_access;,
What are common values in from_date?,SELECT from_date FROM title;,
Show me the gender.,SELECT gender FROM employee;,
What are common values in from_date?,SELECT from_date FROM dept_manager;,
Who updates the to_date?,SELECT to_date FROM salary;,
Is dept_no unique for each record?,SELECT dept_no FROM dept_emp;,
Is from_date unique for each record?,SELECT from_date FROM title;,
When is the from_date?,SELECT from_date FROM salary;,
What are common values in emp_no?,SELECT emp_no FROM employee_login;,
What information does access_granted_date hold?,SELECT access_granted_date FROM manager_department_access;,
What information does dept_no hold?,SELECT dept_no FROM manager_department_access;,
How to update to_date?,SELECT to_date FROM dept_manager;,
Which table contains emp_no?,SELECT emp_no FROM employee;,
Give an example of last_login.,SELECT last_login FROM employee_login;,
When is the emp_no?,SELECT emp_no FROM title;,
Define the from_date field.,SELECT from_date FROM dept_emp;,
What happens if created_at is missing?,SELECT created_at FROM employee_login;,
Explain the meaning of first_name.,SELECT first_name FROM employee;,
How is emp_no used in the manager_department_access table?,SELECT emp_no FROM manager_department_access;,
How to find emp_no?,SELECT emp_no FROM salary;,
Can I filter records by from_date?,SELECT from_date FROM dept_manager;,
What is the to_date?,SELECT to_date FROM dept_emp;,
What are common values in dept_name?,SELECT dept_name FROM department;,
What happens if emp_no is missing?,SELECT emp_no FROM dept_emp;,
Who updates the emp_no?,SELECT emp_no FROM employee_login;,
Why do we need hire_date?,SELECT hire_date FROM employee;,
Give an example of dept_no.,SELECT dept_no FROM dept_manager;,
Which employee has the emp_no?,SELECT emp_no FROM title;,
How to find from_date?,SELECT from_date FROM salary;,
What information does emp_no hold?,SELECT emp_no FROM dept_manager;,
How to update to_date?,SELECT to_date FROM title;,
Where can I see the first_name?,SELECT first_name FROM employee;,
Where can I see the emp_no?,SELECT emp_no FROM employee_login;,
When is the amount?,SELECT amount FROM salary;,
Explain the meaning of emp_no.,SELECT emp_no FROM manager_department_access;,
Show me the username.,SELECT username FROM employee_login;,
Can I filter records by emp_no?,SELECT emp_no FROM salary;,
When is the title?,SELECT title FROM title;,
How to join using dept_name?,SELECT dept_name FROM department;,
List all entries for amount.,SELECT amount FROM salary;,
Where is title mostly used?,SELECT title FROM title;,
List all dept_name values.,SELECT dept_name FROM department;,
Explain the meaning of dept_no.,SELECT dept_no FROM manager_department_access;,
What happens if last_name is missing?,SELECT last_name FROM employee;,
List all created_at values.,SELECT created_at FROM employee_login;,
Describe the purpose of to_date.,SELECT to_date FROM title;,
How to find gender?,SELECT gender FROM employee;,
List all birth_date values.,SELECT birth_date FROM employee;,
Can you tell me the emp_no?,SELECT emp_no FROM employee;,
How is birth_date used in the employee table?,SELECT birth_date FROM employee;,
Who updates the emp_no?,SELECT emp_no FROM dept_emp;,
How to join using last_name?,SELECT last_name FROM employee;,
Can you tell me the emp_no?,SELECT emp_no FROM employee_login;,
What happens if dept_no is missing?,SELECT dept_no FROM dept_emp;,
Who updates the emp_no?,SELECT emp_no FROM title;,
Is to_date unique for each record?,SELECT to_date FROM title;,
How to join using emp_no?,SELECT emp_no FROM title;,
Who updates the login_id?,SELECT login_id FROM employee_login;,
How to join using to_date?,SELECT to_date FROM dept_emp;,
Give an example of amount.,SELECT amount FROM salary;,
Can you tell me the from_date?,SELECT from_date FROM title;,
List all login_id values.,SELECT login_id FROM employee_login;,
Describe the purpose of access_granted_date.,SELECT access_granted_date FROM manager_department_access;,
List all entries for from_date.,SELECT from_date FROM dept_emp;,
How to join using to_date?,SELECT to_date FROM dept_manager;,
Can I filter records by last_login?,SELECT last_login FROM employee_login;,
Give me the last_name of an employee.,SELECT last_name FROM employee;,
How to join using emp_no?,SELECT emp_no FROM employee;,
How is to_date used in the salary table?,SELECT to_date FROM salary;,
Where can I see the password?,SELECT password FROM employee_login;,
Is first_name unique for each record?,SELECT first_name FROM employee;,
What information does first_name hold?,SELECT first_name FROM employee;,
Why do we need birth_date?,SELECT birth_date FROM employee;,
Can I filter records by last_name?,SELECT last_name FROM employee;,
What is the data type of to_date in title?,SELECT to_date FROM title;,
How to join using access_granted_date?,SELECT access_granted_date FROM manager_department_access;,
Who updates the from_date?,SELECT from_date FROM dept_emp;,
Give me the from_date of an employee.,SELECT from_date FROM dept_manager;,
Where can I see the emp_no?,SELECT emp_no FROM salary;,
Define the dept_no field.,SELECT dept_no FROM department;,
What is the data type of emp_no in salary?,SELECT emp_no FROM salary;,
Give an example of emp_no.,SELECT emp_no FROM dept_emp;,
How to update emp_no?,SELECT emp_no FROM dept_emp;,
Define the dept_no field.,SELECT dept_no FROM dept_emp;,
How to find emp_no?,SELECT emp_no FROM dept_manager;,
Explain the meaning of from_date.,SELECT from_date FROM salary;,
Where can I see the emp_no?,SELECT emp_no FROM employee;,
Can I filter records by to_date?,SELECT to_date FROM dept_emp;,
Describe the purpose of login_id.,SELECT login_id FROM employee_login;,
Is to_date unique for each record?,SELECT to_date FROM salary;,
What happens if to_date is missing?,SELECT to_date FROM dept_manager;,
Can you tell me the emp_no?,SELECT emp_no FROM dept_manager;,
Give me the dept_no of an employee.,SELECT dept_no FROM dept_manager;,
Where can I see the to_date?,SELECT to_date FROM dept_emp;,
Where is birth_date mostly used?,SELECT birth_date FROM employee;,
How to join using hire_date?,SELECT hire_date FROM employee;,
Which employee has the hire_date?,SELECT hire_date FROM employee;,
How to find dept_no?,SELECT dept_no FROM department;,
How is hire_date used in the employee table?,SELECT hire_date FROM employee;,
Define the last_name field.,SELECT last_name FROM employee;,
Where is last_login mostly used?,SELECT last_login FROM employee_login;,
Where is username mostly used?,SELECT username FROM employee_login;,
Which employee has the last_login?,SELECT last_login FROM employee_login;,
Who updates the password?,SELECT password FROM employee_login;,
Explain the title column in title.,SELECT title FROM title;,
What happens if hire_date is missing?,SELECT hire_date FROM employee;,
Describe the purpose of emp_no.,SELECT emp_no FROM dept_manager;,
List all entries for emp_no.,SELECT emp_no FROM manager_department_access;,
Where is emp_no mostly used?,SELECT emp_no FROM employee_login;,
Can you tell me the username?,SELECT username FROM employee_login;,
Give me the to_date of an employee.,SELECT to_date FROM salary;,
Where can I see the login_id?,SELECT login_id FROM employee_login;,
List all entries for dept_no.,SELECT dept_no FROM dept_manager;,
What is the data type of password in employee_login?,SELECT password FROM employee_login;,
What is the data type of emp_no in dept_manager?,SELECT emp_no FROM dept_manager;,
How to find title?,SELECT title FROM title;,
Define the dept_name field.,SELECT dept_name FROM department;,
Who updates the dept_no?,SELECT dept_no FROM dept_manager;,
List all to_date values.,SELECT to_date FROM dept_emp;,
What is the data type of to_date in dept_manager?,SELECT to_date FROM dept_manager;,
List all emp_no values.,SELECT emp_no FROM manager_department_access;,
How to join using gender?,SELECT gender FROM employee;,
Give me the password of an employee.,SELECT password FROM employee_login;,
What is the dept_no?,SELECT dept_no FROM dept_emp;,
Who updates the from_date?,SELECT from_date FROM salary;,
What is the data type of emp_no in employee?,SELECT emp_no FROM employee;,
Explain the meaning of from_date.,SELECT from_date FROM dept_manager;,
Which employees have never logged in?,"SELECT e.first_name, e.last_name FROM employee e LEFT JOIN employee_login l ON e.emp_no = l.emp_no WHERE l.emp_no IS NULL;",
List usernames of employees who logged in today.,SELECT username FROM employee_login WHERE DATE(last_login) = CURRENT_DATE;,
How many employees have login access?,SELECT COUNT(DISTINCT emp_no) FROM employee_login;,
Which departments have employees with no login?,SELECT DISTINCT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no WHERE l.emp_no IS NULL;,
List employees who have been promoted (more than one title).,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(*) > 1;,
What are the usernames of employees who were hired in 2023?,SELECT l.username FROM employee e JOIN employee_login l ON e.emp_no = l.emp_no WHERE EXTRACT(YEAR FROM e.hire_date) = 2023;,
Which managers have login credentials?,SELECT DISTINCT l.username FROM employee_login l JOIN dept_manager dm ON l.emp_no = dm.emp_no;,
Find employees who have access to more than one department.,SELECT emp_no FROM manager_department_access GROUP BY emp_no HAVING COUNT(dept_no) > 1;,
Which employee last logged in most recently?,SELECT username FROM employee_login ORDER BY last_login DESC LIMIT 1;,
List all department names and the number of employees with access granted.,"SELECT d.dept_name, COUNT(m.emp_no) FROM department d JOIN manager_department_access m ON d.dept_no = m.dept_no GROUP BY d.dept_name;",
Show departments accessed by employee 1005.,SELECT dept_no FROM manager_department_access WHERE emp_no = 1005;,
Which departments were accessed today?,SELECT DISTINCT dept_no FROM manager_department_access WHERE access_granted_date = CURRENT_DATE;,
How many departments have more than 5 employees?,SELECT COUNT(*) FROM (SELECT dept_no FROM dept_emp GROUP BY dept_no HAVING COUNT(emp_no) > 5) AS sub;,
Get login details of employees who haven’t logged in in last 30 days.,SELECT username FROM employee_login WHERE last_login < CURRENT_DATE - INTERVAL '30 days';,
List employees with current titles and department access.,SELECT DISTINCT t.emp_no FROM title t JOIN manager_department_access m ON t.emp_no = m.emp_no WHERE t.to_date >= CURRENT_DATE;,
Show all employees who are both a manager and have login access.,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no JOIN employee_login l ON e.emp_no = l.emp_no;",
List employees whose birthday is in June.,"SELECT first_name, last_name FROM employee WHERE EXTRACT(MONTH FROM birth_date) = 6;",
How many employees joined each year?,"SELECT EXTRACT(YEAR FROM hire_date) AS year, COUNT(*) FROM employee GROUP BY year ORDER BY year;",
Find employees who joined the same day they got login access.,"SELECT e.first_name, e.last_name FROM employee e JOIN employee_login l ON e.emp_no = l.emp_no WHERE DATE(e.hire_date) = DATE(l.created_at);",
List departments where all employees have login accounts.,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no GROUP BY d.dept_name HAVING COUNT(de.emp_no) = COUNT(l.emp_no);,
Show all managers who have never been granted department access.,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no WHERE e.emp_no NOT IN (SELECT emp_no FROM manager_department_access);",
Which employees have worked in more than 2 departments?,SELECT emp_no FROM dept_emp GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 2;,
Find employees who are still working in departments (to_date is future).,SELECT emp_no FROM dept_emp WHERE to_date > CURRENT_DATE;,
List employees with overlapping salary periods.,SELECT emp_no FROM salary s1 JOIN salary s2 ON s1.emp_no = s2.emp_no AND s1.from_date < s2.to_date AND s2.from_date < s1.to_date AND s1.from_date != s2.from_date;,
Find departments with more than one manager over time.,SELECT dept_no FROM dept_manager GROUP BY dept_no HAVING COUNT(DISTINCT emp_no) > 1;,
How many logins were created in 2024?,SELECT COUNT(*) FROM employee_login WHERE EXTRACT(YEAR FROM created_at) = 2024;,
List employees who have no title record.,"SELECT e.first_name, e.last_name FROM employee e LEFT JOIN title t ON e.emp_no = t.emp_no WHERE t.emp_no IS NULL;",
Which employees are working in both 'IT' and 'Finance' departments?,"SELECT emp_no FROM dept_emp WHERE dept_no IN (SELECT dept_no FROM department WHERE dept_name IN ('IT', 'Finance')) GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) = 2;",
List employees who had salary changed in 2023.,SELECT DISTINCT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = 2023;,
Which departments were managed in 2022?,SELECT DISTINCT dept_no FROM dept_manager WHERE from_date <= '2022-12-31' AND to_date >= '2022-01-01';,
Show login usernames of employees who are currently in any department.,SELECT l.username FROM employee_login l JOIN dept_emp d ON l.emp_no = d.emp_no WHERE d.to_date >= CURRENT_DATE;,
Get number of employees with the same last name.,"SELECT last_name, COUNT(*) FROM employee GROUP BY last_name HAVING COUNT(*) > 1;",
List employees who were managers and also accessed department on same date.,SELECT DISTINCT dm.emp_no FROM dept_manager dm JOIN manager_department_access mda ON dm.emp_no = mda.emp_no AND dm.from_date = mda.access_granted_date;,
Which departments had salary updates for employees in 2023?,SELECT DISTINCT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no WHERE EXTRACT(YEAR FROM s.from_date) = 2023;,
Find employees with most frequent title changes.,SELECT emp_no FROM title GROUP BY emp_no ORDER BY COUNT(*) DESC LIMIT 5;,
How many employees were added every quarter in 2022?,"SELECT EXTRACT(QUARTER FROM hire_date) AS quarter, COUNT(*) FROM employee WHERE EXTRACT(YEAR FROM hire_date) = 2022 GROUP BY quarter;",
List departments where no one has login access.,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no LEFT JOIN employee_login l ON de.emp_no = l.emp_no GROUP BY d.dept_name HAVING COUNT(l.emp_no) = 0;,
Find average salary per department.,"SELECT d.dept_name, AVG(s.amount) FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no GROUP BY d.dept_name;",
Which employees changed their department in 2022?,SELECT emp_no FROM dept_emp WHERE EXTRACT(YEAR FROM from_date) = 2022;,
List top 3 departments with longest-serving managers.,SELECT dept_no FROM dept_manager ORDER BY (to_date - from_date) DESC LIMIT 3;,
Who are the newest hires in each department?,"SELECT dept_no, emp_no FROM (SELECT dept_no, emp_no, ROW_NUMBER() OVER (PARTITION BY dept_no ORDER BY hire_date DESC) AS rn FROM dept_emp JOIN employee USING (emp_no)) t WHERE rn = 1;",
Find how many employees got more than one salary in a year.,SELECT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(*) > 1;,
List all usernames and their associated employee's title.,"SELECT l.username, t.title FROM employee_login l JOIN title t ON l.emp_no = t.emp_no WHERE t.to_date >= CURRENT_DATE;",
Who got promoted from 'Junior Engineer' to 'Senior Engineer'?,"SELECT emp_no FROM title WHERE title IN ('Junior Engineer', 'Senior Engineer') GROUP BY emp_no HAVING COUNT(DISTINCT title) = 2;",
Which department has the youngest average age of employees?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN employee e ON de.emp_no = e.emp_no GROUP BY d.dept_name ORDER BY AVG(AGE(e.birth_date)) ASC LIMIT 1;,
List employees who joined as manager from day 1 of employment.,SELECT e.emp_no FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no WHERE e.hire_date = dm.from_date;,
Which employees never got promoted (held only one title)?,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(*) = 1;,
Show department managers who manage departments they don't have access to.,"SELECT emp_no FROM dept_manager WHERE (emp_no, dept_no) NOT IN (SELECT emp_no, dept_no FROM manager_department_access);",
What is the full name of employee ID 1001?,SELECT first_name || ' ' || last_name AS full_name FROM employee WHERE emp_no = 1001;,
Who are the employees hired in 2020?,"SELECT first_name, last_name FROM employee WHERE EXTRACT(YEAR FROM hire_date) = 2020;",
Show all female employees hired before 2015.,"SELECT first_name, last_name FROM employee WHERE gender = 'F' AND hire_date < '2015-01-01';",
List employees born after 1990.,"SELECT first_name, last_name FROM employee WHERE birth_date > '1990-01-01';",
Get names of employees with last name 'Singh'.,SELECT first_name FROM employee WHERE last_name = 'Singh';,
Find the gender distribution of employees.,"SELECT gender, COUNT(*) FROM employee GROUP BY gender;",
Which employees were hired between 2010 and 2020?,"SELECT first_name, last_name FROM employee WHERE hire_date BETWEEN '2010-01-01' AND '2020-12-31';",
How many employees are there in total?,SELECT COUNT(*) FROM employee;,
List employees sorted by hire date.,"SELECT first_name, last_name, hire_date FROM employee ORDER BY hire_date;",
Find employees whose first name starts with 'A'.,"SELECT first_name, last_name FROM employee WHERE first_name LIKE 'A%';",
List all departments.,SELECT dept_name FROM department;,
Which department has the most employees?,SELECT dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no GROUP BY dept_name ORDER BY COUNT(*) DESC LIMIT 1;,
Who are the managers of the IT department?,"SELECT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no JOIN department d ON dm.dept_no = d.dept_no WHERE d.dept_name = 'IT';",
What is the total number of managers?,SELECT COUNT(DISTINCT emp_no) FROM dept_manager;,
Show departments without a manager.,SELECT dept_name FROM department WHERE dept_no NOT IN (SELECT dept_no FROM dept_manager);,
Which departments have exactly 3 employees?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no GROUP BY d.dept_name HAVING COUNT(de.emp_no) = 3;,
List all department names and their manager names.,"SELECT d.dept_name, e.first_name || ' ' || e.last_name AS manager_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no JOIN employee e ON dm.emp_no = e.emp_no;",
Find the department with the oldest manager.,SELECT d.dept_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no JOIN employee e ON dm.emp_no = e.emp_no ORDER BY birth_date ASC LIMIT 1;,
Which managers manage more than one department?,SELECT emp_no FROM dept_manager GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
List all employees who were ever department managers.,"SELECT DISTINCT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no;",
Show the current salary of employee 1023.,SELECT amount FROM salary WHERE emp_no = 1023 ORDER BY to_date DESC LIMIT 1;,
"List employees with salary above 1,00,000.","SELECT e.first_name, e.last_name FROM employee e JOIN salary s ON e.emp_no = s.emp_no WHERE s.amount > 100000;",
What is the average salary in the company?,SELECT AVG(amount) FROM salary;,
Find the highest salary paid.,SELECT MAX(amount) FROM salary;,
Who is the highest paid employee?,"SELECT e.first_name, e.last_name FROM employee e JOIN salary s ON e.emp_no = s.emp_no ORDER BY s.amount DESC LIMIT 1;",
Which department pays the lowest average salary?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no GROUP BY d.dept_name ORDER BY AVG(s.amount) ASC LIMIT 1;,
Show salary history of employee 1005.,"SELECT amount, from_date, to_date FROM salary WHERE emp_no = 1005;",
What is the total salary expense of the HR department?,SELECT SUM(s.amount) FROM salary s JOIN dept_emp de ON s.emp_no = de.emp_no JOIN department d ON de.dept_no = d.dept_no WHERE d.dept_name = 'HR';,
Who got a salary increase in 2022?,SELECT DISTINCT emp_no FROM salary WHERE EXTRACT(YEAR FROM from_date) = 2022;,
How many employees earn between 50k and 70k?,SELECT COUNT(DISTINCT emp_no) FROM salary WHERE amount BETWEEN 50000 AND 70000;,
List all distinct job titles.,SELECT DISTINCT title FROM title;,
Who held the title 'Senior Engineer'?,"SELECT e.first_name, e.last_name FROM employee e JOIN title t ON e.emp_no = t.emp_no WHERE t.title = 'Senior Engineer';",
Which employee had the most titles?,SELECT emp_no FROM title GROUP BY emp_no ORDER BY COUNT(DISTINCT title) DESC LIMIT 1;,
Show the title history of employee 1020.,"SELECT title, from_date, to_date FROM title WHERE emp_no = 1020;",
Find titles that were held by more than 10 employees.,SELECT title FROM title GROUP BY title HAVING COUNT(DISTINCT emp_no) > 10;,
What was the most common title in 2015?,SELECT title FROM title WHERE from_date <= '2015-12-31' AND to_date >= '2015-01-01' GROUP BY title ORDER BY COUNT(*) DESC LIMIT 1;,
List all employees currently holding any title.,SELECT DISTINCT emp_no FROM title WHERE to_date >= CURRENT_DATE;,
Who held a title for more than 5 years?,SELECT emp_no FROM title WHERE to_date - from_date > INTERVAL '5 years';,
Which employees have changed departments?,SELECT emp_no FROM dept_emp GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
List employees who are also department managers.,"SELECT DISTINCT e.first_name, e.last_name FROM employee e JOIN dept_manager dm ON e.emp_no = dm.emp_no;",
Which department has the highest average salary in the last 2 years?,SELECT d.dept_name FROM department d JOIN dept_emp de ON d.dept_no = de.dept_no JOIN salary s ON de.emp_no = s.emp_no WHERE s.from_date >= CURRENT_DATE - INTERVAL '2 years' GROUP BY d.dept_name ORDER BY AVG(s.amount) DESC LIMIT 1;,
Which employee has worked in the most number of departments over time?,SELECT emp_no FROM dept_emp GROUP BY emp_no ORDER BY COUNT(DISTINCT dept_no) DESC LIMIT 1;,
Find the top 5 employees who have received the most salary increases (multiple salary entries).,SELECT emp_no FROM salary GROUP BY emp_no ORDER BY COUNT(*) DESC LIMIT 5;,
List departments where managers never had login access.,SELECT d.dept_name FROM department d JOIN dept_manager dm ON d.dept_no = dm.dept_no LEFT JOIN employee_login l ON dm.emp_no = l.emp_no WHERE l.emp_no IS NULL;,
Which employee titles lasted for more than 5 years?,"SELECT emp_no, title FROM title WHERE (to_date - from_date) > INTERVAL '5 years';",
List all employees who switched departments more than once in a year.,SELECT emp_no FROM dept_emp WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(DISTINCT dept_no) > 1;,
Find departments with the highest number of active employees today.,SELECT dept_no FROM dept_emp WHERE to_date >= CURRENT_DATE GROUP BY dept_no ORDER BY COUNT(*) DESC LIMIT 1;,
Which employees were both a department manager and an employee in the same department?,SELECT dm.emp_no FROM dept_manager dm JOIN dept_emp de ON dm.emp_no = de.emp_no AND dm.dept_no = de.dept_no;,
How many employees were hired and received salary on the same date?,SELECT COUNT(*) FROM employee e JOIN salary s ON e.emp_no = s.emp_no WHERE e.hire_date = s.from_date;,
List employees who held different job titles within the same year.,SELECT emp_no FROM title WHERE EXTRACT(YEAR FROM from_date) = EXTRACT(YEAR FROM to_date) GROUP BY emp_no HAVING COUNT(DISTINCT title) > 1;,
Which employees never changed their title over time?,SELECT emp_no FROM title GROUP BY emp_no HAVING COUNT(DISTINCT title) = 1;,
Find departments where all employees have at least two different titles.,SELECT dept_no FROM dept_emp de JOIN title t ON de.emp_no = t.emp_no GROUP BY dept_no HAVING MIN((SELECT COUNT(DISTINCT title) FROM title WHERE emp_no = de.emp_no)) >= 2;,
Which employee had the longest span of employment in a single department?,"SELECT emp_no, dept_no, MAX(to_date - from_date) as duration FROM dept_emp GROUP BY emp_no, dept_no ORDER BY duration DESC LIMIT 1;",
Find usernames of employees who logged in more than once in the same day.,SELECT username FROM employee_login WHERE DATE(last_login) = DATE(created_at);,
List employees who were hired before they were born (check data errors).,SELECT emp_no FROM employee WHERE hire_date < birth_date;,
List departments with no current managers.,SELECT d.dept_name FROM department d LEFT JOIN dept_manager dm ON d.dept_no = dm.dept_no WHERE dm.to_date < CURRENT_DATE OR dm.to_date IS NULL;,
Find the average number of departments each employee has worked in.,"SELECT AVG(dept_count) FROM (SELECT emp_no, COUNT(DISTINCT dept_no) AS dept_count FROM dept_emp GROUP BY emp_no) AS sub;",
List departments where at least one employee never got a salary.,SELECT DISTINCT de.dept_no FROM dept_emp de LEFT JOIN salary s ON de.emp_no = s.emp_no WHERE s.emp_no IS NULL;,
Which employee worked as a manager the longest?,SELECT emp_no FROM dept_manager ORDER BY (to_date - from_date) DESC LIMIT 1;,
List employees who were hired and promoted on the same day.,SELECT e.emp_no FROM employee e JOIN title t ON e.emp_no = t.emp_no WHERE e.hire_date = t.from_date;,
Which employees changed departments and titles on the same day?,SELECT de.emp_no FROM dept_emp de JOIN title t ON de.emp_no = t.emp_no WHERE de.from_date = t.from_date;,
Show employees who had access granted on a holiday (assume weekends).,"SELECT emp_no FROM manager_department_access WHERE EXTRACT(DOW FROM access_granted_date) IN (0, 6);",
List the number of managers per department for the last 3 years.,"SELECT dept_no, COUNT(DISTINCT emp_no) FROM dept_manager WHERE from_date >= CURRENT_DATE - INTERVAL '3 years' GROUP BY dept_no;",
